hist_authorAccountId,MIN(hist_createdTime)
2730,"2015-03-13 12:50:02"
2733,"2015-11-18 19:45:43"
27769,"2016-04-13 18:23:34"
28565,"2016-05-24 09:02:39"
2917,"2014-04-23 10:35:55"
29211,"2015-05-19 13:43:05"
29271,"2015-08-17 04:49:11"
2957,"2015-03-04 19:55:33"
30003,"2016-06-16 18:44:48"
30083,"2016-02-26 16:59:59"
30483,"2015-08-04 16:21:37"
3091,"2015-03-23 20:08:51"
3108,"2015-10-15 11:31:54"
31262,"2016-05-25 10:47:34"
315,"2012-06-02 06:16:42"
32204,"2015-08-14 18:55:42"
3261,"2014-06-06 09:22:52"
3280,"2015-10-15 07:41:46"
32961,"2016-04-22 16:24:58"
3331,"2014-05-24 15:46:01"
33877,"2016-03-03 22:04:18"
339,"2014-09-10 14:30:49"
3414,"2015-01-14 16:24:43"
3461,"2016-04-13 20:38:34"
3573,"2015-02-20 17:55:32"
36669,"2015-12-02 09:39:20"
3683,"2015-08-05 06:14:38"
37142,"2016-10-13 15:16:46"
37222,"2016-08-17 19:49:57"
383,"2013-08-21 18:10:17"
38452,"2015-07-24 21:13:24"
4,"2010-02-01 13:41:14"
40,"2012-07-25 16:19:30"
4037,"2015-11-03 09:22:25"
4152,"2015-07-27 11:42:31"
4221,"2014-07-25 17:37:46"
430,"2013-07-30 15:46:42"
4300,"2014-07-24 17:04:25"
431,"2013-01-16 18:15:52"
432,"2012-07-03 17:27:58"
434,"2012-06-04 11:56:38"
436,"2013-11-13 13:00:39"
44,"2010-12-20 15:26:17"
440,"2012-03-26 15:14:28"
4416,"2014-10-08 22:10:25"
443,"2016-06-22 15:31:12"
444,"2012-07-31 15:10:43"
446,"2016-03-18 02:47:55"
44628,"2016-02-26 19:28:37"
449,"2013-07-04 17:02:50"
450,"2012-09-10 15:13:40"
451,"2012-07-02 08:33:52"
455,"2013-12-14 08:30:42"
457,"2012-04-03 01:44:51"
458,"2013-06-05 10:22:06"
459,"2013-07-29 20:46:44"
46,"2010-07-19 07:36:01"
460,"2015-04-09 16:33:14"
4610,"2014-08-18 08:10:05"
4611,"2015-11-18 14:55:08"
462,"2012-04-04 07:57:12"
464,"2014-09-01 14:33:02"
4663,"2014-05-15 10:28:29"
467,"2014-10-08 16:05:23"
470,"2012-03-14 12:43:48"
4704,"2014-12-22 10:31:33"
471,"2012-06-01 04:56:08"
4761,"2016-09-02 15:51:20"
477,"2014-12-01 14:44:09"
479,"2013-10-24 09:05:12"
480,"2012-04-02 08:40:40"
481,"2014-05-28 17:15:58"
482,"2012-03-19 15:44:58"
4845,"2016-01-24 12:41:48"
485,"2012-12-03 17:25:52"
488,"2012-04-01 23:17:21"
489,"2012-04-17 12:55:39"
49,"2010-09-08 23:31:35"
493,"2013-04-18 16:29:05"
495,"2012-03-21 15:33:36"
496,"2012-03-14 19:34:44"
497,"2012-07-26 19:53:17"
499,"2012-09-10 14:36:57"
5,"2010-02-10 08:24:31"
500,"2012-07-24 13:10:35"
502,"2012-06-01 14:54:54"
5025,"2014-03-26 20:49:04"
503,"2012-03-21 14:57:00"
5063,"2015-06-23 15:16:24"
513,"2012-03-26 14:55:03"
51623,"2015-09-28 17:33:14"
518,"2014-12-11 15:53:59"
523,"2014-10-21 09:36:26"
524,"2012-03-26 14:57:05"
526,"2013-03-20 13:36:12"
527,"2014-04-07 15:23:43"
5277,"2014-04-08 09:10:44"
528,"2013-11-29 18:40:48"
5285,"2015-02-12 08:16:27"
529,"2012-10-22 19:38:49"
5293,"2014-04-23 08:34:40"
530,"2013-11-14 19:36:02"
5306,"2015-01-14 20:38:26"
5309,"2015-02-23 14:59:54"
5310,"2015-02-23 15:08:02"
5311,"2014-06-19 12:38:30"
5319,"2014-07-25 13:13:46"
5341,"2014-08-18 17:53:32"
535,"2012-03-26 15:00:30"
5355,"2014-05-15 14:12:06"
5367,"2015-01-26 09:48:05"
538,"2014-03-11 16:30:32"
539,"2012-03-26 14:55:57"
543,"2012-03-26 14:57:58"
545,"2015-08-18 17:07:35"
5465,"2015-11-26 17:03:27"
566,"2012-06-01 18:51:46"
569,"2012-07-25 18:37:28"
570,"2014-12-31 13:58:53"
572,"2012-05-23 15:58:41"
577,"2012-12-05 04:47:08"
582,"2012-09-06 18:09:13"
583,"2012-06-01 15:22:04"
587,"2012-12-04 08:57:26"
591,"2012-04-17 00:26:31"
592,"2014-06-19 15:10:23"
5923,"2016-10-24 07:08:51"
5940,"2016-06-01 06:43:55"
595,"2014-02-25 08:46:25"
598,"2012-06-04 15:26:23"
59822,"2016-09-12 12:53:57"
599,"2012-07-18 15:14:44"
6,"2010-02-11 12:42:12"
6017,"2016-09-12 12:53:33"
606,"2012-07-30 08:18:43"
6071,"2015-11-02 09:14:47"
609,"2012-06-07 14:06:06"
60974,"2016-05-17 15:40:51"
6144,"2016-07-13 13:51:09"
615,"2014-08-31 16:20:43"
616,"2012-06-04 19:27:20"
61637,"2016-02-26 21:46:15"
617,"2015-04-23 09:01:09"
618,"2016-09-05 11:15:41"
6180,"2014-06-23 15:19:08"
620,"2013-01-17 14:46:33"
6203,"2015-06-26 09:44:46"
621,"2014-03-10 16:28:38"
6214,"2014-07-24 18:27:27"
6234,"2014-10-08 19:07:28"
627,"2012-07-27 20:32:24"
62820,"2015-12-11 16:29:04"
62965,"2016-06-27 13:11:00"
63,"2011-08-17 22:02:47"
631,"2014-06-06 14:31:45"
