ch_changeIdNum,ch_authorAccountId
85106,1
85186,32204
84044,763
85190,763
85191,763
85185,722
85187,722
84496,65661
85178,529
83896,1003
85183,722
85189,457
84699,572
84510,722
85184,722
84481,60974
77546,65661
84257,1003
82836,93019
85181,4
82660,32204
81467,81129
84135,529
85182,97373
85089,40
84943,11
85163,1003
85175,97041
85172,78432
57454,7162
49408,5483
70632,25601
83975,4497
84902,5666
66074,72340
85171,78432
44212,6144
85170,497
84365,18199
85162,1003
85161,1003
75358,65661
84478,1003
85165,30483
85042,726
85152,29211
85151,7200
85158,1289
84808,55591
77160,81909
85144,5309
85153,857
79949,30965
85147,1598
85117,1220
85030,2044
76097,10602
84975,5309
85143,1179
85142,1179
85101,940
84986,55591
85129,536
85135,964
85132,5285
84598,79641
85040,64782
85131,659
85043,64782
85123,1012
85034,93761
83710,587
85119,1397
85062,10533
85115,2448
85114,2448
84814,10533
84874,10602
82010,6332
84664,1597
83566,62965
77159,81909
77161,81909
83643,529
85097,98297
84612,95777
84971,1598
85088,4326
84507,32204
85048,7099
85060,1007
84989,663
84711,763
85075,32204
85078,98298
85052,2044
82283,1007
85050,2044
85076,22886
54231,44461
83758,663
83055,32204
83579,627
82797,627
83625,627
62344,755
82804,627
72025,10272
83709,587
83691,96011
78449,1179
83589,33021
83631,1408
78583,911
76899,81909
78348,81909
77162,81909
78012,81909
83470,906
80257,78432
83561,598
81283,857
79120,5309
83452,5277
81540,587
77108,1
80464,1007
73884,627
83548,627
72334,7162
83128,39577
83491,925
83454,1598
83499,1598
83308,30003
83475,30003
83472,30003
83459,449
81871,94987
82899,587
83421,81638
83416,81638
83389,30003
71325,130
68280,37222
68375,37222
81733,763
83393,44628
83379,37677
83369,96916
83344,4037
79978,7197
83307,30003
71965,11
71303,11
69560,11
59612,11
83298,67060
82096,60974
77005,457
83273,40
83168,3091
82612,95237
82279,888
81796,1472
83169,973
75925,1408
83194,1012
83191,96903
81347,1012
81348,1012
83192,13980
83183,13980
83146,77391
80694,7214
80706,7214
83108,663
82369,587
82119,577
63827,2471
75298,1597
77214,1597
75299,1597
75480,1597
83062,32204
83065,78432
82984,663
75075,51797
83043,934
82540,51797
82520,51797
75720,1202
83009,13980
83000,1333
82920,13980
83002,13980
82956,96866
81374,1033
79629,1007
79628,1007
76519,29829
56405,587
52524,1093
71873,5306
46989,24862
76461,24862
71082,24862
70820,24862
76456,85185
76455,85185
74658,82206
76406,29829
76403,29829
76402,16306
46730,598
47059,5508
76323,84975
58385,598
76101,668
71939,79567
70317,722
74814,983
74511,5806
74002,74204
75891,4
75937,1471
74583,5806
55389,6332
75340,11437
75797,82688
75894,82688
72097,79567
72105,79567
39247,763
47768,763
75791,763
60822,763
58850,763
75527,1313
75733,443
75344,530
74099,12256
74530,5285
75453,6775
75100,763
75211,2337
75438,587
75427,1093
75312,82688
75369,668
75052,74204
75283,615
75307,38750
75306,38750
75309,38750
75311,38750
75310,38750
75308,38750
68662,587
75296,6071
75225,621
73995,69704
17181,572
65493,5806
75053,1218
74986,1218
74973,25194
40855,4374
74949,39168
72573,39168
74936,1093
74920,1093
74918,1093
74721,69704
74701,1609
71720,1468
74614,76526
69790,76526
74591,1051
72685,1408
25575,1012
74502,7099
74525,339
74514,4663
74373,7128
58719,464
74372,78712
52412,29441
52411,29441
74086,857
68666,722
74031,1093
74149,4
74045,1218
73014,1472
73255,7099
73877,668
73873,74204
73359,1051
73781,5355
63226,3467
63182,8775
63158,2295
63136,8775
63132,27380
63131,27380
63113,8775
63103,6180
62697,63701
62972,8775
62724,63701
62891,3467
62870,667
62867,59357
62812,8775
62375,63701
61964,63701
62580,1093
61918,8775
62210,8775
62706,9486
59177,8775
62669,67050
62566,67050
60381,8775
59827,3467
59698,3467
62350,8775
57661,8775
59379,8775
